toi,tid,tfopwg_disp,ra,dec,pl_rade,pl_orbper,pl_trandurh,pl_trandep,pl_insol,pl_eqt,st_tmag,st_dist,st_teff,st_logg,st_rad,toi_created,rowupdate,in_habitable_zone,is_planet,planet_size_category_Earth-sized,planet_size_category_Jupiter-sized,planet_size_category_Neptune-sized,planet_size_category_Super-Earth,star_temp_category_G-dwarf,star_temp_category_Hot-star,star_temp_category_K-dwarf,star_temp_category_M-dwarf
2495.01,33091590,PC,104.827007,-4.828274,1.8939264,7.795385,1.6941573,2783.9129229,4.92634,379.9713444,12.2285,43.0789,3356.0,4.8711,0.352909,2021-02-19 00:37:58,2021-10-29 12:59:15,0,1,False,False,False,True,False,False,False,True
2496.01,160328683,PC,91.196155,-32.580197,22.9576146,1.5746828,1.9286406,77503.5100766,71.4965163,741.6362852,14.1969,196.683,3273.0,4.66823,0.579963,2021-02-19 00:37:58,2024-01-29 12:03:01,0,1,False,True,False,False,False,False,False,True
2497.01,97568467,CP,90.062588,11.884058,11.7630857,10.655694,7.8236322,2103.6578759,997.808531,1433.4467118,9.14112,285.289,6715.0,3.79727,2.49897,2021-02-19 00:37:58,2024-06-06 10:08:02,0,1,False,True,False,False,False,True,False,False
2498.01,263179590,CP,95.41622,11.251648,4.774123,3.7382381,2.975208,1316.4622757,790.4759269,1352.3587386,10.844,275.265,5938.0,4.25146,1.2906801,2021-02-19 00:37:59,2024-06-06 10:08:02,0,1,False,False,True,False,True,False,False,False
2499.01,67196573,APC,89.456648,-11.418203,17.7879,2.5574812,1.053,1860.0,639.207,1400.0,10.7996,233.953,5844.0,4.33,1.13,2021-02-19 00:37:59,2022-03-15 12:02:21,0,0,False,True,False,False,True,False,False,False
250.01,184240683,KP,359.349028,-41.27722,12.9621642,1.6284288,2.368249,13798.6701483,1559.4761539,1602.7450127,11.5464,309.137,5700.0,4.39502,1.0941,2018-11-29 21:52:42,2024-09-09 10:08:01,0,1,False,True,False,False,True,False,False,False
2500.01,206785987,PC,96.69897,8.200979,13.1598,2.955314,3.031,6470.0,2541.33,1978.0,11.619,702.71,7837.0,4.31121,1.58,2021-02-19 00:37:59,2024-09-10 10:08:02,0,1,False,True,False,False,False,True,False,False
2501.01,134471108,PC,108.066593,-44.027544,2.6350944,5.3262922,2.2585228,1501.6874101,40.1166389,641.8756259,11.6751,93.8832,4066.0,4.60684,0.658727,2021-02-19 00:37:59,2024-02-23 10:08:02,0,1,False,False,False,True,False,False,True,False
2502.01,52689469,KP,101.394805,-33.881692,13.070864,3.1413825,4.4361226,5433.0348726,2278.9841698,1762.1995122,13.6373,1477.98,6534.0,4.09026,1.73409,2021-02-19 00:37:59,2021-12-02 16:02:01,0,1,False,True,False,False,False,True,False,False
2503.01,124778445,KP,94.444759,-35.706364,13.2366563,1.6751568,2.2718194,17781.0520005,1000.567857,1434.4366942,13.9819,743.972,5457.0,4.44807,0.963518,2021-02-19 00:37:59,2021-10-29 12:59:15,0,1,False,True,False,False,False,False,True,False
